timestamp,x,y,z
0,-7.46,-4.69,4.78
10,-7.6,-4.46,5.14
20,-7.6,-4.54,5.54
30,-7.89,-4.37,5.4
40,-7.97,-4.03,5.19
50,-8.01,-4.21,5.43
60,-7.95,-4.08,5.31
70,-7.92,-4.11,5.22
80,-7.74,-4.08,5.18
90,-7.58,-4.1,5.22
100,-7.34,-4.17,5.22
110,-7.26,-4.35,5.07
120,-7.33,-4.34,5.21
130,-7.6,-4.18,5.13
140,-7.76,-4.13,5.16
150,-7.89,-4.02,5.24
160,-7.85,-3.97,5.15
170,-7.61,-4.0,5.2
180,-7.41,-4.08,5.13
190,-7.2,-4.28,5.13
200,-7.09,-4.32,4.89
210,-7.02,-4.32,4.81
220,-7.16,-4.47,4.8
230,-7.22,-4.42,4.91
240,-7.25,-4.57,4.99
250,-7.34,-4.47,5.02
260,-7.45,-4.2,4.98
270,-7.47,-3.92,4.96
280,-7.35,-4.09,4.91
290,-7.23,-4.13,4.9
300,-7.08,-4.35,5.0
310,-7.1,-4.43,4.95
320,-7.15,-4.46,4.81
330,-7.13,-4.25,4.93
340,-7.25,-4.16,4.87
350,-7.31,-4.07,4.93
360,-7.47,-3.94,4.95
370,-7.66,-3.55,5.14
380,-7.78,-3.29,5.31
390,-7.81,-3.11,5.55
400,-8.03,-2.13,5.75
410,-8.8,-1.51,6.18
420,-9.43,-0.91,6.37
430,-10.27,-0.26,6.91
440,-11.25,-0.17,7.19
450,-12.08,0.17,7.75
460,-12.81,-0.28,8.32
470,-13.39,-0.75,8.43
480,-13.51,-1.7,9.25
490,-13.73,-2.92,9.43
500,-13.52,-4.21,9.83
510,-12.97,-5.84,10.66
520,-12.4,-7.19,10.86
530,-11.42,-8.55,11.05
540,-10.11,-10.51,10.67
550,-8.39,-11.86,10.37
560,-6.92,-12.82,10.36
570,-5.84,-13.5,9.33
580,-4.63,-14.07,8.91
590,-3.46,-14.68,8.54
600,-2.57,-14.9,8.34
610,-1.57,-15.18,7.23
620,-0.32,-16.13,5.77
630,0.52,-14.97,4.87
640,1.22,-14.06,3.72
650,1.75,-13.78,2.97
660,2.33,-13.32,2.31
670,2.95,-12.51,1.48
680,3.31,-11.3,0.65
690,3.71,-10.11,0.1
700,4.01,-9.39,-0.24
710,3.93,-8.31,-0.45
720,3.78,-6.64,-0.71
730,3.85,-6.18,-0.22
740,3.53,-4.64,-0.54
750,3.51,-3.72,-0.27
760,3.54,-3.39,0.0
770,3.21,-1.45,-0.01
780,3.22,-0.27,0.53
790,2.92,1.02,0.94
800,2.54,2.84,1.84
810,1.78,4.31,3.06
820,0.25,5.76,4.33
830,-1.51,7.09,5.25
840,-2.62,8.26,6.2
850,-3.16,9.26,7.16
860,-4.44,10.41,9.66
870,-5.86,11.66,10.18
880,-7.93,12.0,10.8
890,-8.59,11.88,11.2
900,-8.71,11.38,11.15
910,-8.8,10.83,11.39
920,-9.35,10.41,11.66
930,-10.05,10.13,11.64
940,-11.1,10.0,11.81
950,-11.93,9.8,11.37
960,-12.28,9.38,10.95
970,-12.31,8.6,10.86
980,-12.34,7.98,11.41
990,-12.37,7.56,12.83
1000,-13.19,6.97,14.58
