timestamp,x,y,z
0,-2.25,-4.89,12.54
10,-1.92,-5.45,13.27
20,-1.98,-6.1,13.11
30,-2.2,-6.52,12.84
40,-2.46,-7.07,12.3
50,-2.69,-7.73,11.32
60,-2.86,-8.48,10.14
70,-2.78,-8.81,9.2
80,-2.66,-8.79,8.6
90,-2.52,-8.97,7.96
100,-2.23,-9.32,7.16
110,-1.83,-9.59,6.98
120,-1.35,-9.58,6.96
130,-0.66,-9.32,6.76
140,0.05,-8.81,6.38
150,1.0,-8.29,6.06
160,1.99,-8.1,6.39
170,3.39,-7.87,7.06
180,4.95,-7.39,7.81
190,6.34,-4.83,6.41
200,8.76,-2.93,4.36
210,9.75,-0.06,3.07
220,10.37,2.54,3.3
230,10.96,3.17,4.17
240,13.15,5.83,5.59
250,13.86,9.28,7.52
260,13.66,12.73,6.23
270,12.98,16.12,2.86
280,11.61,18.22,1.51
290,10.19,18.52,2.12
300,8.73,16.52,2.83
310,8.11,13.1,1.55
320,7.65,10.36,-1.45
330,8.24,7.76,-4.42
340,10.6,7.29,-5.74
350,13.36,9.44,-2.07
360,14.71,15.11,3.69
370,13.62,19.82,6.93
380,11.4,19.8,8.05
390,12.31,22.28,8.0
400,10.13,19.82,6.76
410,9.47,16.66,3.61
420,8.94,13.62,-0.99
430,8.91,11.64,-3.15
440,9.44,10.12,-5.05
450,10.07,8.87,-6.52
460,12.12,7.6,-6.18
470,14.4,7.69,-5.56
480,17.39,9.25,-0.99
490,20.18,12.08,7.88
500,21.42,15.93,14.25
510,22.13,18.38,18.84
520,23.12,19.18,21.68
530,23.82,16.15,15.71
540,25.97,9.17,9.75
550,27.3,1.92,6.44
560,28.86,-2.69,6.92
570,30.92,-4.33,15.18
580,31.85,-2.78,24.69
590,29.6,-3.68,32.47
600,28.85,-2.69,36.47
610,26.97,-2.13,36.37
620,25.32,-2.66,35.88
630,23.58,-3.91,32.51
640,21.49,-4.87,27.24
650,18.79,-5.47,18.36
660,16.22,-5.35,15.46
670,11.79,-6.15,12.62
680,10.17,-6.89,9.74
690,8.3,-7.68,6.68
700,6.39,-8.91,4.48
710,4.62,-9.81,3.65
720,3.88,-10.32,4.71
730,2.51,-10.54,5.01
740,2.2,-9.29,5.97
750,2.0,-7.21,5.93
760,1.95,-4.88,5.18
770,2.01,-2.74,4.6
780,2.06,-0.99,3.96
790,2.02,0.69,2.6
800,2.12,2.25,1.18
810,1.7,4.75,-1.3
820,0.53,8.16,-4.33
830,-1.01,10.79,-6.97
840,-2.36,12.37,-8.59
850,-3.25,12.17,-8.93
860,-4.09,9.49,-7.27
870,-4.43,6.58,-3.87
880,-4.5,5.5,-0.41
890,-4.1,6.9,1.32
900,-4.14,9.51,0.55
910,-4.4,11.31,-0.92
920,-4.74,11.97,-1.54
930,-5.02,11.3,-0.95
940,-5.47,9.97,0.27
950,-5.84,8.43,1.56
960,-6.45,6.59,2.53
970,-6.92,3.2,2.79
980,-6.55,5.46,1.92
990,-7.02,4.42,1.82
1000,-6.44,3.81,2.44
