timestamp,x,y,z
0,-8.9,0.78,-4.67
10,-8.96,0.77,-4.68
20,-8.94,0.73,-4.69
30,-8.94,0.67,-4.77
40,-8.92,0.61,-4.69
50,-8.94,0.62,-4.75
60,-8.91,0.65,-4.85
70,-8.82,0.7,-4.88
80,-8.85,0.8,-4.85
90,-8.78,0.85,-4.85
100,-8.67,0.84,-4.86
110,-8.55,0.82,-4.86
120,-8.38,0.78,-4.86
130,-8.15,0.69,-4.85
140,-7.81,0.58,-4.84
150,-7.49,0.5,-4.85
160,-7.18,0.39,-4.9
170,-6.88,0.33,-4.99
180,-6.49,0.19,-5.14
190,-6.15,0.16,-5.32
200,-5.77,0.15,-5.69
210,-5.41,0.22,-6.19
220,-5.14,0.36,-6.68
230,-4.87,0.34,-6.78
240,-4.61,0.17,-6.78
250,-4.32,0.15,-6.58
260,-4.4,0.35,-6.4
270,-4.49,0.64,-7.26
280,-3.77,1.2,-8.39
290,-3.57,1.34,-9.1
300,-2.94,1.12,-8.8
310,-2.21,0.68,-8.13
320,-1.62,0.42,-7.71
330,-1.04,0.4,-7.37
340,-0.77,0.5,-6.68
350,-0.69,0.72,-5.67
360,-1.04,1.34,-4.58
370,-1.58,2.06,-3.76
380,-2.33,2.9,-3.02
390,-3.33,3.59,-1.89
400,-4.37,3.91,-0.78
410,-5.12,4.67,-0.03
420,-5.22,4.34,0.33
430,-4.85,3.54,0.55
440,-3.73,3.52,1.28
450,-3.05,3.54,2.45
460,-3.27,3.85,3.93
470,-4.14,4.32,4.98
480,-4.75,4.54,5.76
490,-5.37,4.71,6.35
500,-5.94,5.14,7.09
510,-6.29,5.89,8.09
520,-6.57,6.58,9.06
530,-5.93,6.99,12.63
540,-6.92,6.48,5.63
550,-8.9,6.81,10.7
560,-9.51,8.32,10.72
570,-10.15,8.62,10.21
580,-9.95,8.33,10.49
590,-9.21,9.56,10.73
600,-9.1,8.7,11.89
610,-9.09,8.53,12.34
620,-7.57,12.17,11.82
630,-10.05,9.55,12.35
640,-10.57,9.58,11.28
650,-11.22,9.18,9.89
660,-11.12,8.54,10.52
670,-11.4,8.98,9.64
680,-14.64,10.45,7.14
690,-11.13,11.14,7.85
700,-8.32,21.67,9.59
710,-8.97,13.57,10.11
720,-9.5,12.7,8.82
730,-9.85,12.41,8.43
740,-9.63,11.48,7.9
750,-10.36,8.34,6.02
760,-7.7,17.72,11.05
770,-8.12,11.44,7.81
780,-7.77,10.34,7.25
790,-7.96,9.96,6.95
800,-7.4,9.81,7.07
810,-7.26,8.9,6.77
820,-7.16,8.5,6.6
830,-7.21,8.57,6.27
840,-7.5,8.87,5.87
850,-8.04,8.78,5.45
860,-8.28,8.48,5.4
870,-8.31,7.91,5.11
880,-8.08,7.13,5.01
890,-7.88,6.44,4.8
900,-7.7,5.82,4.91
910,-7.66,4.99,4.88
920,-7.38,4.43,5.0
930,-7.18,3.54,4.85
940,-7.06,3.09,4.1
950,-6.56,2.48,3.01
960,-5.93,1.93,2.24
970,-5.19,1.09,1.94
980,-4.72,0.14,2.06
990,-4.93,-0.23,1.98
1000,-5.05,-0.69,1.69
