timestamp,x,y,z
0,-6.78,1.8,1.1
10,-6.65,1.71,0.83
20,-6.75,1.52,0.48
30,-6.87,1.41,-0.5
40,-7.13,1.32,-3.49
50,-6.44,0.99,-1.61
60,-6.0,0.83,0.67
70,-5.88,-0.38,0.76
80,-6.36,-1.37,-2.17
90,-5.85,-2.69,-5.14
100,-5.09,-4.86,-6.68
110,-4.29,-5.74,-7.5
120,-3.3,-3.71,-7.3
130,-1.89,-1.68,-5.41
140,-1.22,0.65,-4.63
150,-0.52,2.76,-5.16
160,-0.48,2.6,-5.44
170,-0.18,2.84,-5.3
180,0.73,1.42,-5.66
190,1.26,-0.5,-5.45
200,2.12,-1.67,-4.25
210,3.23,-3.33,-3.37
220,3.78,-3.37,-2.34
230,4.17,-1.82,-0.89
240,5.23,-0.71,-0.39
250,5.97,-0.03,0.01
260,7.07,-0.78,0.61
270,8.31,-2.7,1.2
280,9.77,-4.93,1.22
290,11.84,-6.14,2.44
300,13.45,-5.32,4.36
310,15.0,-4.03,6.92
320,16.13,-2.73,9.48
330,17.24,0.1,11.41
340,17.85,2.32,11.89
350,19.46,4.89,11.76
360,22.52,4.86,12.48
370,25.44,4.58,13.15
380,28.4,9.82,18.42
390,28.48,10.22,20.32
400,28.85,13.58,23.21
410,27.35,19.25,23.49
420,28.43,21.53,20.55
430,28.27,20.13,14.29
440,26.73,18.0,7.81
450,26.04,18.2,5.12
460,24.89,21.1,4.99
470,23.55,23.14,6.8
480,23.22,23.88,8.65
490,23.53,25.19,10.81
500,26.52,26.35,12.99
510,30.13,25.84,11.63
520,33.36,23.42,8.65
530,34.92,18.93,5.76
540,35.75,13.3,4.85
550,35.36,7.76,4.99
560,33.66,4.42,5.65
570,29.45,3.49,5.03
580,27.65,2.19,4.42
590,25.73,-0.77,6.11
600,23.31,-5.07,8.79
610,21.43,-9.07,9.21
620,18.29,-10.38,8.6
630,9.61,-10.48,6.72
640,7.23,-11.11,5.41
650,5.64,-10.71,4.62
660,4.56,-9.43,4.18
670,3.8,-7.35,3.48
680,2.91,-6.37,2.64
690,2.15,-6.36,2.08
700,1.21,-6.6,1.52
710,0.93,-7.9,1.42
720,-0.59,-7.51,0.45
730,-1.87,-6.47,-0.16
740,-3.13,-6.03,-1.35
750,-4.28,-5.62,-2.8
760,-5.09,-5.2,-3.22
770,-5.88,-5.15,-3.39
780,-6.6,-4.85,-3.47
790,-7.14,-4.67,-3.53
800,-7.65,-4.04,-3.59
810,-8.13,-2.95,-3.7
820,-8.18,-2.49,-3.09
830,-8.32,-1.9,-2.89
840,-8.49,-1.23,-2.61
850,-9.06,-0.59,-2.48
860,-9.38,-0.08,-2.33
870,-9.58,0.35,-1.87
880,-9.62,1.05,-1.2
890,-9.55,1.64,-0.22
900,-9.43,2.29,0.64
910,-9.17,2.96,1.87
920,-9.23,3.62,2.54
930,-9.33,3.85,2.84
940,-9.23,3.99,2.76
950,-9.18,3.93,2.89
960,-8.86,3.94,3.41
970,-8.8,4.27,4.01
980,-8.63,4.41,4.98
990,-8.36,4.31,5.59
1000,-8.2,4.56,5.76
