timestamp,x,y,z
0,-3.25,10.67,13.04
10,-2.88,11.24,15.37
20,-3.34,10.1,16.37
30,-3.87,7.17,17.26
40,-4.18,4.93,18.54
50,-4.77,2.76,18.67
60,-5.43,1.26,19.86
70,-7.45,-4.28,19.93
80,-8.29,-8.32,18.83
90,-6.59,-7.54,16.72
100,-7.98,-5.21,14.57
110,-8.37,-5.57,13.56
120,-8.25,-5.94,13.04
130,-8.0,-4.5,12.74
140,-7.89,-3.95,12.2
150,-7.88,-3.57,11.36
160,-7.79,-2.68,10.51
170,-7.5,-1.82,10.05
180,-7.28,-0.93,10.05
190,-6.62,-0.05,10.87
200,-5.18,0.07,11.3
210,-6.33,4.66,11.36
220,-5.7,6.31,9.47
230,-5.45,7.73,8.26
240,-5.07,8.7,7.9
250,-4.7,9.03,7.6
260,-4.62,8.99,6.36
270,-4.61,8.03,6.22
280,-5.37,9.81,1.1
290,-3.91,8.03,7.14
300,-3.92,9.61,3.8
310,-3.29,10.14,4.65
320,-3.05,11.16,3.12
330,-3.15,11.25,1.73
340,-3.42,10.96,1.12
350,-3.46,10.76,0.92
360,-2.97,10.29,1.07
370,-2.21,9.95,1.07
380,-1.33,10.21,0.45
390,-0.87,9.41,-1.59
400,-1.71,10.1,-4.52
410,-1.58,11.33,-6.42
420,-1.93,15.69,-7.65
430,-2.28,17.77,-8.98
440,-3.33,17.23,-8.46
450,-3.7,14.2,-8.53
460,-2.97,14.22,-8.88
470,-2.3,13.87,-9.12
480,-2.18,13.42,-9.45
490,-2.11,13.39,-9.5
500,-2.23,13.18,-9.22
510,-2.58,13.13,-8.9
520,-2.92,13.66,-8.54
530,-3.49,14.58,-8.87
540,-3.54,15.28,-9.24
550,-3.02,15.37,-9.46
560,-2.16,15.03,-9.1
570,-1.59,14.29,-8.32
580,-1.23,13.54,-7.22
590,-0.79,12.63,-6.2
600,-0.52,12.0,-5.51
610,-0.73,12.46,-4.99
620,-0.2,13.69,-4.08
630,-1.04,11.91,-3.86
640,-1.01,10.66,-2.53
650,-0.47,9.76,-0.73
660,-1.13,9.8,0.04
670,-1.34,10.09,0.6
680,-1.63,11.68,5.63
690,-1.05,11.39,9.37
700,-0.26,11.41,12.08
710,-0.61,11.03,12.14
720,-1.68,10.56,10.58
730,-2.56,9.71,11.26
740,-3.1,9.41,11.71
750,-3.55,9.28,11.49
760,-3.9,8.78,11.15
770,-3.93,7.57,10.65
780,-6.71,8.54,10.26
790,-5.57,5.8,9.11
800,-5.73,4.45,8.74
810,-6.14,3.09,8.46
820,-6.71,1.06,7.98
830,-7.17,-0.21,7.18
840,-7.3,-0.11,6.36
850,-7.37,0.34,5.97
860,-7.45,0.76,6.29
870,-7.43,0.57,7.18
880,-7.3,0.73,8.26
890,-7.16,1.61,9.03
900,-7.22,1.98,8.86
910,-7.5,1.95,7.92
920,-7.67,2.11,7.41
930,-7.6,2.28,7.41
940,-7.64,2.23,7.17
950,-7.45,2.23,6.79
960,-7.55,2.79,6.13
970,-7.36,3.59,5.4
980,-7.45,3.26,4.99
990,-8.68,1.88,1.07
1000,-7.93,1.6,5.66
