timestamp,x,y,z
0,-7.45,-0.48,9.65
10,-7.67,-0.39,10.41
20,-7.82,-0.07,11.02
30,-7.93,-0.74,10.47
40,-8.37,-0.83,9.75
50,-8.65,-1.25,9.55
60,-8.52,-2.3,9.06
70,-8.48,-4.15,8.3
80,-8.33,-5.3,7.48
90,-8.43,-5.92,7.2
100,-8.78,-5.56,7.67
110,-8.99,-6.75,7.99
120,-8.81,-8.48,8.3
130,-8.54,-9.66,8.58
140,-8.34,-11.65,8.93
150,-7.62,-13.67,9.27
160,-7.06,-15.36,9.4
170,-6.75,-15.7,8.38
180,-6.13,-15.93,6.84
190,-5.02,-15.4,6.87
200,-4.58,-11.88,7.34
210,-4.52,-7.06,6.37
220,-5.16,-5.25,4.16
230,-5.96,-6.84,1.95
240,-5.8,-10.81,1.3
250,-4.76,-13.5,2.06
260,-2.35,-13.61,3.02
270,0.22,-12.47,3.81
280,3.33,-10.15,4.92
290,6.22,-5.93,4.88
300,8.87,7.4,1.89
310,11.74,14.82,-2.22
320,12.07,21.01,-6.0
330,11.81,25.03,-7.88
340,11.43,26.08,-8.24
350,10.95,30.68,-9.76
360,11.39,36.99,-11.95
370,11.66,39.84,-12.92
380,11.74,40.59,-12.73
390,12.12,40.91,-12.34
400,12.72,40.04,-10.79
410,13.45,38.28,-8.45
420,14.36,36.84,-7.27
430,15.48,35.52,-7.47
440,17.08,33.13,-6.36
450,18.98,30.06,-2.79
460,21.11,28.69,2.49
470,23.27,25.55,7.83
480,25.14,20.33,12.09
490,26.83,13.7,15.52
500,27.01,6.43,18.3
510,25.68,-0.51,26.58
520,24.21,-3.7,36.88
530,23.23,-2.41,41.09
540,23.16,-4.03,36.49
550,22.31,-10.65,30.93
560,20.85,-19.95,30.57
570,17.48,-28.57,30.11
580,12.56,-37.47,26.99
590,7.77,-43.69,23.52
600,3.96,-44.5,20.08
610,1.21,-41.68,14.47
620,0.22,-38.04,7.46
630,-2.63,-36.23,-0.11
640,-2.71,-35.19,-4.74
650,-2.13,-31.93,-6.37
660,-2.12,-28.52,-8.29
670,-2.29,-25.41,-9.6
680,-1.34,-22.31,-9.18
690,-0.19,-20.72,-8.78
700,1.39,-18.78,-8.86
710,3.09,-18.01,-7.74
720,4.17,-17.85,-4.44
730,5.08,-17.24,-0.04
740,5.99,-16.36,3.36
750,6.82,-14.82,4.78
760,7.56,-13.04,8.14
770,9.77,-11.99,9.36
780,10.83,-9.11,9.89
790,11.72,-5.94,9.89
800,11.72,-4.65,12.21
810,11.92,-3.11,13.94
820,12.33,-2.3,13.15
830,13.12,1.44,11.73
840,14.14,5.73,14.86
850,13.56,6.92,22.3
860,12.69,10.27,30.39
870,13.26,21.09,33.21
880,12.34,30.46,30.13
890,11.5,30.98,29.09
900,11.71,29.74,29.43
910,11.31,32.26,29.69
920,11.32,35.24,29.86
930,10.73,36.22,29.06
940,10.64,34.67,25.85
950,10.32,31.85,19.57
960,12.11,29.37,17.82
970,13.67,27.64,16.76
980,15.76,25.15,14.44
990,18.92,23.51,13.17
1000,21.84,18.98,14.52
